run,engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
sglang-orbitkv,sglang,orbitkv,4096,1,after_pressure,45.629024505615234,137.38271221518517,external,4032,594542592.0,11.803938,True
sglang-orbitkv,sglang,orbitkv,4096,2,cold,473.6758917570114,564.2405413091183,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,2,hbm_hit,28.616566210985184,120.69953978061676,hbm,4032,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,2,after_pressure,42.681630700826645,135.46373695135117,external,4032,594542592.0,13.050636999999996,True
sglang-orbitkv,sglang,orbitkv,4096,3,cold,476.07727721333504,567.6703304052353,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,3,hbm_hit,28.35112437605858,120.46493589878082,hbm,4032,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,3,after_pressure,42.30749234557152,134.29707661271095,external,4032,594542592.0,13.537706999999996,True
sglang-orbitkv,sglang,orbitkv,4096,4,cold,473.99209439754486,565.661396831274,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,4,hbm_hit,31.227312982082367,122.57447466254234,hbm,4032,0,0,True
sglang-orbitkv,sglang,orbitkv,4096,4,after_pressure,40.570348501205444,132.54863396286964,external,4032,594542592.0,12.618509,True
sglang-orbitkv,sglang,orbitkv,8192,0,cold,1002.0815841853619,1099.6489115059376,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,0,hbm_hit,29.139433056116104,126.90836563706398,hbm,8128,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,0,after_pressure,55.806998163461685,153.28561514616013,external,8128,1198522368.0,25.794897,True
sglang-orbitkv,sglang,orbitkv,8192,1,cold,1002.1396726369858,1099.5279364287853,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,1,hbm_hit,28.672076761722565,126.4708936214447,hbm,8128,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,1,after_pressure,56.15203082561493,153.74257415533066,external,8128,1198522368.0,26.498530999999993,True
sglang-orbitkv,sglang,orbitkv,8192,2,cold,1001.5753470361233,1099.3503965437412,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,2,hbm_hit,28.783611953258514,128.0558444559574,hbm,8128,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,2,after_pressure,55.74947968125343,153.31711620092392,external,8128,1198522368.0,26.039817999999993,True
sglang-orbitkv,sglang,orbitkv,8192,3,cold,1002.4412013590336,1099.991898983717,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,3,hbm_hit,28.41876819729805,126.3236440718174,hbm,8128,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,3,after_pressure,56.49614334106445,154.0740765631199,external,8128,1198522368.0,27.162430999999987,True
sglang-orbitkv,sglang,orbitkv,8192,4,cold,1001.5260390937328,1099.2015041410923,miss,0,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,4,hbm_hit,28.63704040646553,126.3580210506916,hbm,8128,0,0,True
sglang-orbitkv,sglang,orbitkv,8192,4,after_pressure,57.050976902246475,154.6974629163742,external,8128,1198522368.0,26.562168999999997,True
vllm-orbitkv-ready,vllm,orbitkv,1024,0,cold,118.96495521068573,209.61065962910652,miss,0,0,0,True
