engine,concurrency,pattern,repeat,phase,wall_seconds,sampled_peak_pool_bytes,sampled_peak_query_bytes,query_reserved_bytes_after,query_budget_waits_total,query_budget_bypasses_total,query_coalesced_reads_total,load_bytes_total,ssd_prefetch_bytes_total,save_bytes_total,ssd_write_bytes_total,ssd_prefetch_failures_total,ssd_write_failures_total,load_duration_seconds_sum,ssd_prefetch_duration_seconds_sum,evicted_blocks,still_referenced_blocks
sglang,4,mixed,0,cold,1.79298210516572,3321888768.0,141557760.0,0.0,0,0,0,0,0,2113929216.0,1925185536.0,0,0,0,0,,
sglang,4,mixed,0,after_pressure,0.23240019008517265,6945767424.0,1198522368.0,0.0,0,0,0,2076180480.0,0,0,0,0,0,0.04643739700000005,0,,
sglang,4,mixed,0,after_host_eviction,0.5006425157189369,2113929216.0,2076180480.0,0.0,0,0,0,1896873984.0,1896873984.0,217055232.0,188743680.0,0,0,0.08276494400000006,0.5138313720000001,1120,0
sglang,4,mixed,1,cold,2.2378601282835007,4680843264.0,1198522368.0,0.0,0,0,0,0,0,2566914048.0,2566914048.0,0,0,0,0,,
sglang,4,mixed,1,after_pressure,0.3569398708641529,8304721920.0,1793064960.0,0.0,0,0,0,2529165312.0,0,0,0,0,0,0.05976559399999998,0,,
sglang,4,mixed,1,after_host_eviction,0.5969238616526127,2566914048.0,1934622720.0,0.0,112.0,0,0,2529165312.0,2529165312.0,37748736.0,0,0,0,0.1105655860000001,0.8829729819999996,1264,0
sglang,4,mixed,2,cold,2.783229988068342,5737807872.0,1198522368.0,0.0,0,0,0,0,0,3170893824.0,3170893824.0,0,0,0,0,,
sglang,4,mixed,2,after_pressure,0.3753230795264244,9361686528.0,1340080128.0,0.0,0,0,0,3133145088.0,0,0,0,0,0,0.07565079799999996,0,,
sglang,4,mixed,2,after_host_eviction,0.6997056901454926,3170893824.0,1934622720.0,0.0,242.0,0,0,3133145088.0,3133145088.0,37748736.0,0,0,0,0.13645145700000005,1.0489062580000001,1376,0
sglang,8,shared,0,cold,1.117798026651144,3321888768.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
sglang,8,shared,0,after_pressure,0.21477336809039116,6945767424.0,0.0,0.0,0,0,0,141557760.0,0,0,0,0,0,0.003854771999999951,0,,
sglang,8,shared,0,after_host_eviction,0.22479074820876122,150994944.0,849346560.0,0.0,0,0,7.0,141557760.0,141557760.0,9437184.0,0,0,0,0.006175033999999968,0.02113076199999986,1120,0
sglang,8,shared,1,cold,1.6042068675160408,754974720.0,594542592.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
sglang,8,shared,1,after_pressure,0.26930569112300873,4378853376.0,0.0,0.0,0,0,0,594542592.0,0,0,0,0,0,0.014440184000000023,0,,
sglang,8,shared,1,after_host_eviction,0.3679206147789955,603979776.0,1783627776.0,0.0,239.0,0,2.0,594542592.0,594542592.0,9437184.0,0,0,0,0.02582582099999997,0.08915474000000012,848,0
sglang,8,shared,2,cold,1.382100909948349,1811939328.0,1198522368.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
sglang,8,shared,2,after_pressure,0.34201642870903015,5435817984.0,1198522368.0,0.0,0,0,0,1198522368.0,0,0,0,0,0,0.028040511000000046,0,,
sglang,8,shared,2,after_host_eviction,0.5421240255236626,1207959552.0,1198522368.0,0.0,723.0,0,0,1198522368.0,1198522368.0,9437184.0,0,0,0,0.05169275900000003,0.19279061099999995,960,0
sglang,8,mixed,0,cold,4.029099103063345,5888802816.0,594542592.0,0.0,0,0,0,0,0,4680843264.0,4529848320.0,0,0,0,0,,
sglang,8,mixed,0,after_pressure,0.5820546112954617,9512681472.0,2076180480.0,0.0,1.0,0,0,4605345792.0,0,0,0,0,0,0.119825831,0,,
sglang,8,mixed,0,after_host_eviction,0.8879818208515644,4680843264.0,2076180480.0,0.0,87.0,0,0,4463788032.0,4463788032.0,217055232.0,150994944.0,0,0,0.19660722900000005,1.2887494109999995,1392,0
sglang,8,mixed,1,cold,4.923318061977625,10418651136.0,0.0,0.0,0,0,0,0,0,5737807872.0,5737807872.0,0,0,0,0,,
sglang,8,mixed,1,after_pressure,0.6169940643012524,14042529792.0,1793064960.0,0.0,6.0,0,0,5662310400.0,0,0,0,0,0,0.14775099300000005,0,,
sglang,8,mixed,1,after_host_eviction,1.1263221055269241,5737807872.0,2076180480.0,0.0,510.0,0,0,5662310400.0,5662310400.0,75497472.0,0,0,0,0.24617618400000008,1.768834988000001,1360,0
sglang,8,mixed,2,cold,4.555797383189201,11022630912.0,594542592.0,0.0,0,0,0,0,0,5284823040.0,4982833152.0,0,0,0,0,,
sglang,8,mixed,2,after_pressure,0.6136448793113232,14646509568.0,2076180480.0,0.0,3.0,0,0,5209325568.0,0,0,0,0,0,0.14857781300000017,0,,
sglang,8,mixed,2,after_host_eviction,1.2303748950362206,5284823040.0,1330642944.0,0.0,465.0,0,0,4926210048.0,4926210048.0,358612992.0,301989888.0,0,0,0.21165756800000013,1.0422456670000004,1424,0
