engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
sglang,orbitkv,1024,2,cold,117.71072819828987,206.09135180711746,miss,0,0,0,True
sglang,orbitkv,1024,2,hbm_hit,29.656827449798584,117.88949742913246,hbm,960,0,0,True
sglang,orbitkv,1024,2,after_pressure,39.17843848466873,127.1301694214344,external,960,141557760.0,2.8728789999999993,True
sglang,orbitkv,1024,3,cold,118.17813664674759,206.37599378824234,miss,0,0,0,True
sglang,orbitkv,1024,3,hbm_hit,29.30651232600212,117.57797375321388,hbm,960,0,0,True
sglang,orbitkv,1024,3,after_pressure,40.355220437049866,127.59751826524734,external,960,141557760.0,2.8719599999999996,True
sglang,orbitkv,1024,4,cold,117.97003820538521,206.3390389084816,miss,0,0,0,True
sglang,orbitkv,1024,4,hbm_hit,32.25993365049362,120.50853669643402,hbm,960,0,0,True
sglang,orbitkv,1024,4,after_pressure,39.54578936100006,127.48267874121666,external,960,141557760.0,2.892835,True
sglang,orbitkv,4096,0,cold,473.1653444468975,564.832367002964,miss,0,0,0,True
sglang,orbitkv,4096,0,hbm_hit,30.243199318647385,122.0160759985447,hbm,4032,0,0,True
sglang,orbitkv,4096,0,after_pressure,50.51206424832344,141.9464498758316,external,4032,594542592.0,12.251035,True
sglang,orbitkv,4096,1,cold,473.25848415493965,564.6683536469936,miss,0,0,0,True
sglang,orbitkv,4096,1,hbm_hit,29.928166419267654,121.64902314543724,hbm,4032,0,0,True
sglang,orbitkv,4096,1,after_pressure,51.98981240391731,143.26945319771767,external,4032,594542592.0,11.667893,True
sglang,orbitkv,4096,2,cold,473.8129824399948,565.1991218328476,miss,0,0,0,True
sglang,orbitkv,4096,2,hbm_hit,29.60379794239998,121.38096988201141,hbm,4032,0,0,True
sglang,orbitkv,4096,2,after_pressure,50.30054226517677,141.93164929747581,external,4032,594542592.0,13.041574,True
sglang,orbitkv,4096,3,cold,473.71264547109604,564.4337050616741,miss,0,0,0,True
sglang,orbitkv,4096,3,hbm_hit,29.630661010742188,121.48917838931084,hbm,4032,0,0,True
sglang,orbitkv,4096,3,after_pressure,50.82531273365021,142.10835471749306,external,4032,594542592.0,13.533775999999998,True
sglang,orbitkv,4096,4,cold,473.3273983001709,564.7696629166603,miss,0,0,0,True
sglang,orbitkv,4096,4,hbm_hit,29.874682426452637,121.57916650176048,hbm,4032,0,0,True
sglang,orbitkv,4096,4,after_pressure,50.27439445257187,141.78135991096497,external,4032,594542592.0,12.654535999999993,True
sglang,orbitkv,8192,0,cold,1002.0584240555763,1098.4421223402023,miss,0,0,0,True
sglang,orbitkv,8192,0,hbm_hit,30.91263398528099,128.34522500634193,hbm,8128,0,0,True
sglang,orbitkv,8192,0,after_pressure,62.56788596510887,159.6016138792038,external,8128,1198522368.0,25.716618999999994,True
sglang,orbitkv,8192,1,cold,1001.6364008188248,1098.5680222511292,miss,0,0,0,True
sglang,orbitkv,8192,1,hbm_hit,30.65052628517151,128.23700532317162,hbm,8128,0,0,True
sglang,orbitkv,8192,1,after_pressure,62.14161217212677,159.28876027464867,external,8128,1198522368.0,26.557605,True
sglang,orbitkv,8192,2,cold,1001.0689236223698,1098.294384777546,miss,0,0,0,True
sglang,orbitkv,8192,2,hbm_hit,31.13076090812683,128.69884818792343,hbm,8128,0,0,True
sglang,orbitkv,8192,2,after_pressure,62.039315700531006,159.1825969517231,external,8128,1198522368.0,26.136603000000008,True
sglang,orbitkv,8192,3,cold,1001.4098100364208,1098.7479612231255,miss,0,0,0,True
sglang,orbitkv,8192,3,hbm_hit,30.967343598604202,128.33787500858307,hbm,8128,0,0,True
sglang,orbitkv,8192,3,after_pressure,62.03148141503334,159.09364074468613,external,8128,1198522368.0,27.084247000000005,True
sglang,orbitkv,8192,4,cold,1002.4969764053822,1099.5042622089386,miss,0,0,0,True
sglang,orbitkv,8192,4,hbm_hit,30.603043735027313,127.95267254114151,hbm,8128,0,0,True
sglang,orbitkv,8192,4,after_pressure,62.03606352210045,159.0191349387169,external,8128,1198522368.0,26.459182,True
